報名組別,名稱,地址,官網,連絡電話
飯店/旅館,一六八旅館中壢館,320桃園市中壢區正光街191號,320桃園市中壢區正光街191號,03-494-5533
飯店/旅館,大爵商務飯店,330 桃園市桃園區民權路106巷3號,330 桃園市桃園區民權路106巷3號,03-338-1729
飯店/旅館,六星旅館,330桃園市桃園區經國路721號,330桃園市桃園區經國路721號,03-346-7668
飯店/旅館,水漾時尚旅館,338桃園市蘆竹區洛陽街68號,338桃園市蘆竹區洛陽街68號,03-222-5858
飯店/旅館,中壢米堤大飯店,320 桃園市中壢區中央西路一段120號23樓,320 桃園市中壢區中央西路一段120號23樓,03-338-1729
飯店/旅館,古華花園飯店,320 桃園市中壢區民權路398號,320 桃園市中壢區民權路398號,03-281-1818
飯店/旅館,台北諾富特華航桃園機場飯店,337桃園市大園區航站南路1-1號,337桃園市大園區航站南路1-1號,03-398-0888
飯店/旅館,甲桂林商務旅館,338 桃園市蘆竹區桃園街106號,338 桃園市蘆竹區桃園街106號,03-311-6799
飯店/旅館,名人堂花園大飯店,325 桃園市龍潭區民生路141巷150號,325 桃園市龍潭區民生路141巷150號,03-4339090
飯店/旅館,百老匯旅館,320桃園市中壢區元化路二段122號,320桃園市中壢區元化路二段122號,03-422-6322
飯店/旅館,住都大飯店,330桃園市桃園區桃鶯路398號,330桃園市桃園區桃鶯路398號,03-376-5077
飯店/旅館,和逸飯店桃園青埔館,320桃園市中壢區春德路101號,320桃園市中壢區春德路101號,03-273-7699
飯店/旅館,東森山林渡假酒店,326桃園市楊梅區東森路3號,326桃園市楊梅區東森路3號,03-475-1100
飯店/旅館,南方莊園渡假飯店,320 桃園市中壢區樹籽路8號,320 桃園市中壢區樹籽路8號,03-420-2122
飯店/旅館,桃花園飯店,330 桃園市桃園區復興路151號,330 桃園市桃園區復興路151號,03-286-8333
飯店/旅館,桃園大溪笠復威斯汀度假酒店,335桃園市大溪區日新路166號,335桃園市大溪區日新路166號,03-272-5777
飯店/旅館,桃園喜來登酒店, 337桃園市大園區大觀路777號, 337桃園市大園區大觀路777號,03-385-1188
飯店/旅館,捷適商旅,320桃園市中壢區中山東路一段155號,320桃園市中壢區中山東路一段155號,03-461-6655
飯店/旅館,喬爵旅居 (旅居文旅), 320桃園市中壢區延平路216號, 320桃園市中壢區延平路216號,03-462-2345
飯店/旅館,尊爵大飯店,330桃園市桃園區莊敬路一段300號,330桃園市桃園區莊敬路一段300號,03-316-9900
飯店/旅館,尊爵天際大飯店,338桃園市蘆竹區南崁路1段108號,338桃園市蘆竹區南崁路1段108號,03-212-1001
飯店/旅館,渴望會館,325桃園市龍潭區渴望園區渴望路428號,325桃園市龍潭區渴望園區渴望路428號,03-407-2999
飯店/旅館,愛時租旅館  中壢旗艦店,320桃園市中壢區中美路一段18號5樓,320桃園市中壢區中美路一段18號5樓,03-280-6888
飯店/旅館,新舍商旅中壢館,320桃園市中壢區中央西路一段120號30F,320桃園市中壢區中央西路一段120號30F,03-422-6556
飯店/旅館,福容大飯店  桃園機場捷運A8,333桃園市龜山區復興一路2號3樓,333桃園市龜山區復興一路2號3樓,03-328-5688
飯店/旅館,福容大飯店 中壢,320 桃園市中壢區中正路89號,320 桃園市中壢區中正路89號,03-427-0900
飯店/旅館,福容大飯店 桃園,330 桃園市桃園區大興西路一段200號,330 桃園市桃園區大興西路一段200號,03-326-5800
飯店/旅館,福容大飯店林口,333桃園市龜山區文二一街68號,333桃園市龜山區文二一街68號,03-327-9388
飯店/旅館,福華石門水庫渡假飯店,325桃園市龍潭區大平里民富街176號,325桃園市龍潭區大平里民富街176號,03-411-2323
飯店/旅館,綠的旅館,330 桃園市桃園區寶慶路18號,330 桃園市桃園區寶慶路18號,03-301-2626
飯店/旅館,摩斯汽車旅館,320桃園市中壢區中園路75號,320桃園市中壢區中園路75號, 03-435-1919
飯店/旅館,潮摩鐵汽車旅館(潮旅館),330桃園市桃園區大興西路二段69巷12號,330桃園市桃園區大興西路二段69巷12號,03-301-2220
飯店/旅館,翰品酒店桃園,330桃園市桃園區民生路107號,330桃園市桃園區民生路107號,03-337-0888
民宿,大溪老城四季行館,335桃園市大溪區中央路37號,335桃園市大溪區中央路37號,03-388-1818
民宿,小烏來山莊, 336桃園市復興區32號一鄰, 336桃園市復興區32號一鄰,03 382 2877
民宿,谷點咖啡民宿,336桃園市復興區華陵里8鄰30號,336桃園市復興區華陵里8鄰30號,03-391-2415
民宿,河那灣,336桃園市復興區澤仁里3鄰溪口台41號,336桃園市復興區澤仁里3鄰溪口台41號,03-382-2340
民宿,恩愛農場,336桃園市復興區中心路143-1號,336桃園市復興區中心路143-1號,03-391-2335
民宿,烏樹林從前從前,325桃園市龍潭區龍平路115巷138弄76號,325桃園市龍潭區龍平路115巷138弄76號,0905-016-957 
民宿,馬廄民宿,325桃園市龍潭區渴望2路125巷72弄13號,325桃園市龍潭區渴望2路125巷72弄13號,0988-606-896
民宿,清優小築,334桃園市八德區新興路1472巷10號1樓,334桃園市八德區新興路1472巷10號1樓,0902-153-591
民宿,微笑蒔光,335桃園市大溪區月眉里月眉路246巷45號,335桃園市大溪區月眉里月眉路246巷45號,03-388-0811
民宿,溪景生態農莊,336桃園市復興區華陵里11鄰巴崚180-2號,336桃園市復興區華陵里11鄰巴崚180-2號,03-391-2027
民宿,福緣山莊,336桃園市復興區華陵里11鄰180-7號,336桃園市復興區華陵里11鄰180-7號,03-391-2090
民宿,嶺鎮渡假木屋,336桃園市復興區華陵里中心農路145-3號　,336桃園市復興區華陵里中心農路145-3號　,0928-036122
