國道編號,服務區/休息站名稱,里程位置,地址
國道1號,中壢服務區,55K,桃園市中壢區
國道1號,楊梅休息站,71K,桃園市楊梅區
國道1號,湖口服務區,86K,新竹縣湖口鄉
國道1號,泰安服務區(北上),158K,台中市后里區月眉里九甲七路400號
國道1號,泰安服務區(南下),159K,台中市后里區
國道1號,西螺服務區,229K,雲林縣西螺鎮
國道1號,新營服務區,284K,台南市後壁區
國道1號,仁德服務區,335K,台南市仁德區
國道3號,木柵休息站(北上),25K,台北市文山區
國道3號,關西服務區,76K,新竹縣關西鎮
國道3號,寶山休息站(南下),96K,新竹縣寶山鄉
國道3號,西湖服務區,134K,苗栗縣西湖鄉湖東村埔頂29號
國道3號,清水服務區,172K,台中市清水區吳厝里七鄰吳厝二街87號
國道3號,南投服務區,231K,南投縣南投市
國道3號,古坑服務區,276K,雲林縣古坑鄉
國道3號,東山服務區,319K,台南市東山區
國道3號,新化休息站,350K,台南市新化區
國道3號,關廟服務區,363K,台南市關廟區
國道5號,石碇服務區,4K,新北市石碇區文山路1段6號
國道5號,蘇澳服務區,54K,宜蘭縣蘇澳鎮
國道6號,東草屯休息站,6.7K,南投縣草屯鎮
