項次,縣市旅宿登記證號,類別,標章,旅宿名稱,地址,房間數
1,臺中市旅館300號,旅館,五星級,日月千禧酒店,臺中市西屯區市政路77號,243
2,交觀宿字第1583號,國際觀光旅館,五星級,長榮桂冠酒店(台中),臺中市西屯區臺灣大道二段666號,354
3,臺中市旅館158號,旅館,二星級,巧合大飯店,臺中市中區建國路163號,123
4,臺中市旅館178號,旅館,三星級,中科大飯店,臺中市北屯區旅順路2段7號1至19樓,225
5,臺中市旅館154號,旅館,二星級,創意時尚旅店,臺中市北區五權路332、334號1至7樓,98
6,臺中市旅館298號,旅館,三星級,成旅晶贊飯店,臺中市中區民權路66號、繼光街25號1至9樓,109
7,交觀宿字第1369號,一般觀光旅館,四星級,台中港酒店,臺中市梧棲區大智路二段388號,200
8,臺中市旅館268號,旅館,五星級,清新溫泉飯店,臺中市烏日區溫泉路2號,155
9,臺中市旅館033號,旅館,二星級,美之旅商務飯店,臺中市西區美村路一段269號,56
10,交觀宿字第1457號,一般觀光旅館,五星級,裕元花園酒店,臺中市西屯區台灣大道四段610號(台中港路3段78-3號),149
11,臺中市旅館186號,旅館,二星級,墨鐵會館,臺中市中區柳川西路三段19號1樓、4樓至12樓,52
12,臺中市旅館297號,旅館,三星級,台中富信大飯店,臺中市中區市府路14號,88
13,臺中市旅館131號,旅館,三星級,歐遊國際精品旅館(台中館),臺中市南屯區文心南路98號,40
14,交觀宿字第1495號,國際觀光旅館,五星級,台中金典酒店,臺中市西區健行路1049號,222
15,臺中市旅館470號,旅館,二星級,梧棲行旅,臺中市梧棲區大仁路2段291巷10號,54
16,臺中市旅館156號,旅館,二星級,博奇大飯店,臺中市中區雙十路一段5號,134
17,臺中市旅館475號,旅館,三星級,挪威森林文創休閒旅館,臺中市南區正氣街36號,45
18,臺中市旅館337號,旅館,三星級,雲端商務旅館,臺中市中區公園路36號,112
